Donor Name,Food Type,Quantity (kg),Location,Donation Date,Transport Mode,Donor Type,Donation Frequency (per month),Average Donation Duration (hours)
Patel-Fisher,Dairy,38.45,Grahamburgh,2024-06-06,Drone,Restaurant,9,1.4
Mccoy LLC,Grains,39.92,North Amyberg,2024-01-25,Truck,Restaurant,9,0.8
Peterson-Harris,Grains,41.92,Carlosport,2023-12-18,Drone,Restaurant,5,1.3
Nelson and Sons,Meat,40.73,Johnsonchester,2024-02-25,Walk,Food Bank,6,2.3
Bell Ltd,Grains,41.1,North Meganmouth,2024-06-25,Walk,Grocery Store,3,0.8
Lawson-Neal,Fruits,30.35,West Kristin,2024-01-05,Van,Food Bank,2,1.8
"Martinez, Sanchez and Rich",Fruits,32.35,Port Susanview,2024-04-11,Walk,Restaurant,5,2.9
"Morrow, Washington and Davenport",Fruits,39.75,Richardsonport,2024-03-16,Walk,Grocery Store,7,1.5
"Smith, Perez and Cross",Meat,53.46,New Michaelton,2024-02-28,Truck,Food Bank,5,2.5
Riley Group,Snacks,13.73,New Ryanmouth,2024-05-16,Drone,Food Bank,1,0.7
Gibbs Group,Meat,21.65,Lake Shannonside,2024-07-29,Truck,Restaurant,5,1.3
"Morales, Thompson and Lang",Bakery,91.68,East Janechester,2024-03-23,Walk,Food Bank,9,2.1
"Franco, Ball and Sexton",Dairy,69.54,West Elizabethbury,2024-04-18,Walk,Food Bank,5,2.4
Wu Inc,Canned Goods,42.81,Guerraport,2024-02-03,Truck,Restaurant,9,2.3
Huffman PLC,Vegetables,26.2,North Jacobside,2023-12-15,Walk,Food Bank,1,1.8
"Allen, Woods and Fisher",Snacks,58.34,Madisonfurt,2023-12-16,Drone,Grocery Store,3,2.7
"Stewart, Stanley and Smith",Bakery,36.07,Mortonland,2024-02-14,Drone,Restaurant,2,1.1
"Bond, Johnson and Bradford",Meat,99.59,Smithshire,2024-05-06,Drone,Restaurant,7,2.4
"Rose, Mclaughlin and Newton",Meat,71.6,Vegaborough,2024-07-22,Drone,Food Bank,4,2.5
"Cook, Irwin and Sanchez",Vegetables,43.4,Port Christopher,2024-05-16,Walk,Grocery Store,2,1.1
"Rodriguez, Wright and Valdez",Snacks,69.64,Caldwellhaven,2024-05-08,Truck,Restaurant,6,2.3
Vasquez Ltd,Dairy,33.71,Port Darlene,2024-09-03,Walk,Grocery Store,3,1.7
"Mcdowell, Mitchell and Hawkins",Fruits,63.86,Alexisport,2024-10-30,Drone,Food Bank,6,1.9
Lopez-Day,Dairy,78.2,Lake Jeanettetown,2024-02-07,Van,Grocery Store,7,1.8
Harrison-Smith,Grains,59.59,North Patricia,2024-05-17,Truck,Supermarket,9,1.6
"Green, Myers and Carter",Dairy,64.86,Lake Jerry,2024-07-18,Drone,Food Bank,9,2.0
Gonzalez Inc,Bakery,69.43,New Beth,2024-07-17,Drone,Farm,7,2.8
Hawkins-Simmons,Grains,81.67,Port Jenniferstad,2024-06-13,Truck,Grocery Store,3,2.0
"Anderson, Joyce and Rodriguez",Meat,99.7,Thomasburgh,2024-03-27,Drone,Grocery Store,7,0.5
Lawson Ltd,Vegetables,91.61,West Kevinberg,2024-09-10,Van,Farm,2,0.7
Williams-Gill,Bakery,57.02,Derekberg,2024-05-20,Bike,Restaurant,6,1.4
"Dunn, Valdez and Harris",Dairy,16.81,West William,2024-06-29,Truck,Food Bank,7,1.6
Jones PLC,Frozen Food,97.7,Bethanystad,2023-11-21,Truck,Supermarket,7,1.6
Thomas PLC,Vegetables,71.78,Jameschester,2023-12-09,Bike,Grocery Store,1,2.8
Novak-Petersen,Meat,20.13,Darlenebury,2024-08-22,Bike,Farm,6,1.5
Velasquez Group,Canned Goods,6.36,South John,2024-01-16,Truck,Farm,3,2.3
"Thompson, Harris and Martin",Dairy,84.99,Elizabethville,2024-04-18,Drone,Grocery Store,8,3.0
Jones Ltd,Dairy,40.56,Wesleyborough,2024-02-01,Drone,Food Bank,4,3.0
Munoz and Sons,Canned Goods,24.32,Lake Rebecca,2024-10-23,Walk,Restaurant,2,2.1
Pollard PLC,Meat,33.29,East Cynthia,2024-07-06,Bike,Supermarket,1,1.1
"Smith, Patton and Haney",Dairy,75.64,Pamelaburgh,2024-06-09,Van,Restaurant,1,1.8
Wong Ltd,Fruits,90.4,East Roy,2024-01-10,Truck,Food Bank,4,1.8
Perkins Inc,Bakery,26.29,South Joshuaview,2024-05-30,Truck,Farm,1,1.0
Hartman-Herrera,Canned Goods,33.6,Leeburgh,2024-06-11,Drone,Supermarket,8,2.2
Dickson-Sullivan,Fruits,62.53,Leemouth,2024-09-27,Drone,Restaurant,9,2.6
Gonzalez-Nelson,Frozen Food,29.15,West Charlesberg,2024-01-17,Truck,Restaurant,9,1.6
Harris LLC,Frozen Food,26.62,Lake Helen,2023-12-16,Walk,Grocery Store,9,0.9
Miller Ltd,Fruits,7.59,New Tiffany,2024-05-05,Bike,Farm,9,1.7
Harrison-Ryan,Vegetables,50.86,Stacyhaven,2024-02-08,Walk,Farm,7,2.1
Hubbard Ltd,Dairy,91.17,Castromouth,2024-03-28,Walk,Grocery Store,7,1.6
Cruz LLC,Dairy,50.13,Jasonborough,2024-05-07,Truck,Grocery Store,6,2.8
Powers and Sons,Dairy,32.33,Lopezberg,2023-12-25,Walk,Grocery Store,2,0.9
Brown-Nunez,Dairy,67.87,North Daniel,2024-10-29,Truck,Supermarket,2,0.7
Camacho-Howard,Vegetables,23.9,Ashleystad,2024-11-13,Bike,Grocery Store,1,1.7
"Spence, Pratt and Moreno",Meat,54.33,Clarkport,2024-02-08,Bike,Food Bank,3,2.4
Medina Group,Dairy,9.15,Peterberg,2024-08-22,Walk,Grocery Store,8,3.0
